iter	Passed	Remaining
0	47	47261
1	47	23864
2	48	16053
3	48	12117
4	56	11166
5	56	9350
6	57	8117
7	57	7180
8	58	6412
9	58	5795
10	58	5291
11	65	5406
12	66	5011
13	72	5092
14	72	4774
15	75	4622
16	75	4366
17	77	4244
18	78	4039
19	80	3921
20	80	3746
21	80	3586
22	87	3710
23	87	3566
24	88	3433
25	88	3309
26	88	3195
27	88	3088
28	89	2989
29	89	2897
30	89	2811
31	90	2737
32	90	2659
33	91	2586
34	91	2517
35	91	2453
36	91	2392
37	92	2333
38	92	2278
39	92	2225
40	93	2175
41	93	2127
42	93	2083
43	93	2039
44	94	1998
45	94	1958
46	94	1920
47	94	1883
48	95	1848
49	95	1814
50	95	1782
51	96	1751
52	96	1721
53	96	1692
54	96	1664
55	97	1637
56	97	1619
57	98	1600
58	98	1577
59	99	1564
60	100	1546
61	100	1525
62	101	1503
63	101	1482
64	101	1462
65	101	1443
66	102	1424
67	102	1406
68	102	1387
69	103	1370
70	103	1353
71	103	1337
72	104	1321
73	104	1305
74	104	1290
75	106	1291
76	106	1277
77	107	1266
78	107	1252
79	107	1238
80	107	1224
81	108	1212
82	108	1197
83	108	1185
84	108	1172
85	109	1160
86	109	1148
87	109	1137
88	110	1127
89	110	1116
90	110	1105
91	110	1095
92	111	1085
93	111	1075
94	111	1065
95	112	1055
96	112	1046
97	113	1043
98	114	1039
99	115	1035
100	115	1027
101	115	1018
102	115	1010
103	116	1003
104	116	995
105	117	988
106	117	980
107	117	973
108	118	965
109	118	957
110	118	950
111	118	943
112	119	936
113	119	929
114	119	922
115	120	915
116	120	908
117	120	902
118	120	895
119	121	889
120	121	883
121	121	876
122	122	870
123	122	864
124	122	858
125	122	852
126	123	846
127	123	840
128	123	835
129	124	829
130	124	824
131	124	819
132	124	814
133	125	808
134	125	803
135	125	798
136	125	793
137	126	788
138	126	783
139	126	778
140	127	774
141	127	768
142	127	764
143	127	759
144	128	756
145	128	752
146	128	747
147	129	744
148	129	741
149	130	737
150	130	734
151	130	729
152	131	725
153	131	722
154	131	718
155	132	714
156	132	710
157	132	706
158	132	702
159	133	699
160	133	695
161	133	692
162	134	688
163	134	685
164	134	681
165	135	678
166	135	674
167	135	671
168	136	669
169	136	666
170	136	663
171	137	659
172	137	656
173	137	653
174	138	650
175	138	647
176	138	644
177	139	642
178	139	639
179	139	636
180	140	633
181	140	630
182	140	627
183	140	624
184	141	621
185	141	618
186	141	615
187	142	613
188	142	610
189	142	607
190	142	605
191	143	602
192	143	600
193	144	601
194	145	598
195	145	596
196	145	594
197	146	591
198	146	588
199	146	586
200	146	583
201	147	581
202	147	578
203	147	576
204	148	574
205	148	572
206	148	569
207	149	567
208	149	565
209	149	562
210	150	561
211	150	559
212	150	557
213	151	554
214	151	552
215	151	550
216	151	548
217	152	545
218	152	543
219	155	550
220	155	548
221	156	547
222	156	545
223	156	543
224	157	541
225	157	539
226	157	537
227	158	535
228	158	533
229	159	533
230	159	532
231	160	531
232	161	530
233	161	528
234	162	527
235	162	525
236	162	524
237	163	522
238	163	520
239	163	518
240	163	516
241	164	514
242	164	512
243	164	510
244	165	508
245	165	507
246	165	505
247	166	504
248	166	502
249	166	500
250	167	498
251	167	497
252	167	495
253	168	493
254	168	492
255	168	490
256	169	488
257	169	487
258	169	485
259	170	484
260	170	482
261	171	482
262	172	482
263	172	481
264	172	479
265	173	478
266	173	476
267	182	498
268	182	497
269	183	495
270	183	493
271	183	492
272	184	490
273	184	488
274	184	487
275	185	485
276	185	483
277	185	482
278	186	480
279	186	479
280	186	477
281	187	477
282	188	477
283	189	476
284	190	476
285	191	479
286	192	478
287	192	477
288	193	475
289	193	474
290	193	472
291	194	471
292	194	469
293	194	467
294	195	466
295	195	464
296	195	463
297	196	461
298	196	460
299	196	458
300	196	457
301	197	455
302	197	454
303	197	452
304	198	451
305	198	450
306	198	448
307	199	447
308	210	470
309	210	469
310	211	467
311	212	468
312	212	467
313	213	466
314	213	464
315	214	463
316	214	462
317	216	464
318	220	469
319	221	470
320	222	469
321	224	473
322	225	471
323	225	470
324	225	468
325	226	467
326	226	465
327	226	464
328	226	462
329	227	461
330	227	459
331	227	458
332	228	457
333	228	455
334	229	454
335	229	454
336	232	457
337	233	456
338	233	455
339	234	454
340	234	453
341	234	451
342	235	450
343	235	448
344	235	447
345	235	445
346	236	444
347	236	443
348	236	441
349	237	440
350	237	439
351	237	438
352	238	436
353	238	435
354	238	434
355	239	432
356	239	431
357	239	430
358	240	428
359	240	427
360	240	426
361	241	425
362	241	424
363	242	423
364	242	421
365	242	420
366	242	419
367	243	417
368	243	416
369	243	415
370	244	413
371	244	412
372	244	411
373	245	410
374	245	408
375	245	407
376	245	406
377	246	405
378	246	403
379	246	402
380	247	401
381	249	402
382	249	402
383	252	404
384	252	403
385	253	402
386	253	402
387	254	400
388	254	399
389	254	398
390	255	397
391	255	396
392	255	394
393	255	393
394	256	392
395	256	391
396	256	389
397	257	388
398	257	387
399	257	386
400	257	385
401	258	384
402	258	382
403	259	382
404	259	381
405	259	380
406	260	379
407	260	377
408	260	376
409	261	375
410	261	374
411	261	373
412	261	372
413	262	371
414	262	370
415	262	369
416	263	368
417	263	366
418	263	365
419	264	364
420	264	363
421	264	362
422	264	361
423	265	360
424	265	359
425	265	358
426	266	356
427	266	355
428	266	354
429	266	353
430	267	352
431	267	351
432	267	350
433	268	349
434	268	348
435	268	347
436	269	346
437	269	345
438	269	344
439	269	343
440	270	342
441	270	341
442	270	340
443	271	339
444	271	338
445	271	337
446	272	337
447	273	336
448	273	335
449	274	334
450	274	334
451	274	333
452	275	332
453	275	331
454	275	330
455	276	329
456	276	328
457	276	327
458	276	326
459	277	325
460	277	324
461	277	323
462	277	322
463	278	321
464	278	320
465	278	319
466	279	318
467	279	317
468	279	316
469	279	315
470	280	314
471	280	313
472	280	312
473	281	311
474	281	310
475	281	309
476	281	308
477	282	308
478	282	307
479	282	306
480	282	305
481	283	304
482	283	303
